lit_id,authors,year,title,venue,theme,use_for_023,verification,doi,url
L001,Mace & Pagel,1994,The Comparative Method in Anthropology,Current Anthropology,comparative method / Galton problem,Establishes non-independence as a central cross-cultural problem,verified,10.1086/204317,https://www.journals.uchicago.edu/doi/10.1086/204317
L002,Mace & Holden,2005,A phylogenetic approach to cultural evolution,Trends in Ecology & Evolution,phylogenetic comparative methods,Argues language trees can control shared history and support cultural evolutionary inference,verified,10.1016/j.tree.2004.12.002,https://pubmed.ncbi.nlm.nih.gov/16701354/
L003,Matthews et al.,2011,Testing for Divergent Transmission Histories among Cultural Characters,PLOS ONE,vertical vs horizontal transmission,Demonstrates different cultural characters can have divergent transmission histories,verified,10.1371/journal.pone.0014810,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0014810
L004,Tehrani,2013,The Phylogeny of Little Red Riding Hood,PLOS ONE,folktale phylogenetics,Direct precedent for phylogenetic analysis of tale variants,verified,10.1371/journal.pone.0078871,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0078871
L005,Graça da Silva & Tehrani,2016,Comparative phylogenetic analyses uncover the ancient roots of Indo-European folktales,Royal Society Open Science,phylogeny + spatial diffusion,Uses phylogenetic/autologistic models to compare vertical inheritance and spatial association in folktales,verified,10.1098/rsos.150645,https://pubmed.ncbi.nlm.nih.gov/26909191/
L006,Kirby et al.,2016,"D-PLACE: A Global Database of Cultural, Linguistic and Environmental Diversity",PLOS ONE,cross-cultural database,"Model for keeping cultural, linguistic, spatial and environmental data linked but distinct",verified,10.1371/journal.pone.0158391,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158391
L007,Day,2013,Comparative Ancient Near Eastern Study: The Genesis Flood Narrative in Relation to Ancient Near Eastern Flood Accounts,Oxford University Press chapter,flood / dependence criteria,Explicitly warns against parallelomania and weighs direct vs indirect dependence,verified,10.1093/acprof:oso/9780199645534.003.0007,https://academic.oup.com/book/35373/chapter-abstract/301258660
L008,Carr,2020,Precursors to the Flood Narrative (Gen 6:5–9:17),Oxford University Press chapter,Genesis formation / Mesopotamian precursors,Supports modeled-on-earlier-Mesopotamian-traditions interpretation for Genesis flood layers,verified,10.1093/oso/9780190062545.003.0007,https://academic.oup.com/book/32142/chapter/268104460
L009,Watkins,1995,How to Kill a Dragon: Aspects of Indo-European Poetics,Oxford University Press,comparative poetics,Independent genealogical evidence for formulaic/mythic inheritance beyond simple motif counts,verified_book,,https://global.oup.com/academic/product/how-to-kill-a-dragon-9780195144130
L010,Chen,2013,The Primeval Flood Catastrophe: Origins and Early Development in Mesopotamian Traditions,Oxford University Press,Mesopotamian flood,Source-history background for Sumerian/Akkadian flood development,verified_book,,https://global.oup.com/academic/product/the-primeval-flood-catastrophe-9780199676200
L011,Lang,2026,Flood Story,Oxford Classical Dictionary,Mesopotamian flood synthesis,Current reference synthesis of Mesopotamian flood structure and later reception,verified,,https://academic.oup.com/edited-volume/61673/chapter-abstract/567661368
L012,D-PLACE,current,Data Sources / Phylogenies,D-PLACE,data architecture,States Glottolog classifications are topological and branch lengths are not time; offers published phylogenies separately,verified,,https://d-place.org/source
L013,Nunn et al. / cultural PCM simulation literature,2010,Is horizontal transmission really a problem for phylogenetic comparative methods?,Proceedings B / PMC,horizontal transmission sensitivity,Shows PCM performance depends on transmission regime; motivates explicit robustness rather than assuming trees solve diffusion,verified_title,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2981909/
L014,Cultural evolution review,2024,Cultural evolution: A review of theoretical challenges,Evolutionary Human Sciences,field-level theory,Recent review emphasizing conceptual/methodological choices and limits of inference,verified,,https://www.cambridge.org/core/journals/evolutionary-human-sciences/article/cultural-evolution-a-review-of-theoretical-challenges/F1DAA0367EBB4F7866F9B624DB2D9BEA
L015,Mace & Zhang,2023,Cross-cultural Comparative Methods for Testing Evolutionary Hypotheses,Oxford Handbook of Cultural Evolution,comparative method,"Recent guide to phylogenetic trees, ancestral-state inference and statistical pitfalls",verified,10.1093/oxfordhb/9780198869252.013.5,https://academic.oup.com/edited-volume/45648/chapter-abstract/406029982
L016,"Nunn, Borgerhoff Mulder & Langley",2006,Comparative Methods for Studying Cultural Trait Evolution: A Simulation Study,Cross-Cultural Research,method sensitivity,Shows independent contrasts and partial Mantel methods can fail under horizontal transmission,verified,10.1177/1069397105283401,https://journals.sagepub.com/doi/10.1177/1069397105283401
L017,"Greenhill, Currie & Gray",2009,Does horizontal transmission invalidate cultural phylogenies?,Proceedings of the Royal Society B,reticulation sensitivity,Simulation-based argument that some phylogenetic inferences remain robust under realistic borrowing,verified,10.1098/rspb.2008.1944,https://pubmed.ncbi.nlm.nih.gov/19324763/
